interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$125,000 to $149,999",bachelor,FL,FL07,41,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,male,Northeast,not hispanic,white,"$20,000 to $24,999",tertiary (not bachelor),MA,MA02,27,20 ~ 30,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$60,000 to $64,999",graduate,NY,NY21,76,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",bachelor,IL,IL05,68,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,female,Midwest,not hispanic,white,"$75,000 to $79,999",at most high school,OH,OH02,37,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,Part-time employed,Another country,female,West,not hispanic,white,"$80,000 to $84,999",bachelor,CA,CA18,40,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,male,South,not hispanic,white,"Less than $14,999",bachelor,VA,VA03,69,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,West,not hispanic,white,"$75,000 to $79,999",graduate,OR,OR05,40,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$200,000 to $249,999",graduate,NM,NM01,36,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,West,not hispanic,white,"$50,000 to $54,999",bachelor,CO,CO05,55,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$55,000 to $59,999",tertiary (not bachelor),OH,OH16,49,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,female,South,not hispanic,white,"$25,000 to $29,999",tertiary (not bachelor),TX,TX04,36,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,West,not hispanic,white,"$70,000 to $74,999",bachelor,NV,NV03,72,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,West,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),AZ,AZ05,65,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,female,West,not hispanic,white,"$125,000 to $149,999",bachelor,CA,CA12,58,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$90,000 to $94,999",graduate,AL,AL07,61,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,Midwest,not hispanic,white,"$15,000 to $19,999",at most high school,OH,OH13,57,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$80,000 to $84,999",bachelor,AL,AL04,68,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$175,000 to $199,999",bachelor,NY,NY11,60,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),MA,MA09,71,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,male,Midwest,not hispanic,white,"$25,000 to $29,999",bachelor,OH,OH11,50,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,Northeast,not hispanic,white,"$60,000 to $64,999",tertiary (not bachelor),NJ,NJ02,53,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"Less than $14,999",bachelor,PA,PA17,60,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,South,not hispanic,white,"$70,000 to $74,999",graduate,SC,SC03,72,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,male,West,not hispanic,white,"$50,000 to $54,999",at most high school,CA,CA32,66,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,West,mexican,black,"$100,000 to $124,999",bachelor,AZ,AZ08,47,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$25,000 to $29,999",bachelor,GA,GA05,25,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,male,Northeast,not hispanic,white,"$15,000 to $19,999",bachelor,CT,CT05,64,60 ~ 70,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$70,000 to $74,999",at most high school,IL,IL14,57,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,South,not hispanic,white,"$40,000 to $44,999",tertiary (not bachelor),NC,NC06,71,>= 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",bachelor,IN,IN02,31,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,white,"$40,000 to $44,999",bachelor,MA,MA09,36,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,white,"$50,000 to $54,999",graduate,VT,VT00,54,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$150,000 to $174,999",bachelor,CA,CA47,44,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,male,West,not hispanic,white,"$45,000 to $49,999",tertiary (not bachelor),OR,OR01,70,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$70,000 to $74,999",bachelor,OH,OH14,73,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",tertiary (not bachelor),MN,MN05,62,60 ~ 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$35,000 to $39,999",at most high school,IN,IN08,59,50 ~ 60,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Not Sure,Permanently disabled,The United States,female,South,not hispanic,white,"$20,000 to $24,999",tertiary (not bachelor),FL,FL13,60,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$175,000 to $199,999",graduate,FL,FL11,40,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$75,000 to $79,999",graduate,NY,NY20,45,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,white,"$65,000 to $69,999",graduate,CT,CT02,64,60 ~ 70,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,female,Northeast,not hispanic,white,"$85,000 to $89,999",bachelor,NJ,NJ09,43,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$15,000 to $19,999",bachelor,NC,NC01,77,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,female,Midwest,not hispanic,white,"$30,000 to $34,999",tertiary (not bachelor),IN,IN08,56,50 ~ 60,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,female,South,not hispanic,black,"$25,000 to $29,999",tertiary (not bachelor),NC,NC12,65,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,female,Midwest,not hispanic,white,"$20,000 to $24,999",bachelor,MO,MO07,36,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,West,not hispanic,white,"$175,000 to $199,999",graduate,CA,CA14,25,20 ~ 30,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,Northeast,not hispanic,white,"$95,000 to $99,999",graduate,NY,,40,40 ~ 50,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,West,not hispanic,white,"$70,000 to $74,999",bachelor,NV,NV04,31,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,male,South,not hispanic,black,"$100,000 to $124,999",bachelor,GA,GA01,59,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$30,000 to $34,999",graduate,NC,NC10,51,50 ~ 60,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,South,not hispanic,white,"$150,000 to $174,999",graduate,FL,FL17,65,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,female,West,not hispanic,white,"$70,000 to $74,999",tertiary (not bachelor),AK,AK00,40,40 ~ 50,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,male,Midwest,not hispanic,white,"$30,000 to $34,999",bachelor,OH,OH03,24,20 ~ 30,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,Northeast,not hispanic,white,"$70,000 to $74,999",tertiary (not bachelor),PA,PA07,67,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,male,South,not hispanic,black,"$30,000 to $34,999",tertiary (not bachelor),FL,FL11,20,20 ~ 30,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$65,000 to $69,999",at most high school,SC,SC04,65,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,female,Northeast,not hispanic,white,"$100,000 to $124,999",bachelor,PA,PA11,60,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,South,not hispanic,white,"$25,000 to $29,999",bachelor,TX,TX31,60,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,female,Northeast,not hispanic,white,"$95,000 to $99,999",bachelor,NY,NY23,73,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,Midwest,not hispanic,white,"$90,000 to $94,999",graduate,IN,IN04,45,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,FL,NV04,63,60 ~ 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Full-time employed,The United States,male,Northeast,not hispanic,white,"$80,000 to $84,999",bachelor,NJ,NJ02,30,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Self-employed,The United States,male,West,not hispanic,white,"$50,000 to $54,999",bachelor,CO,CO04,67,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,female,West,not hispanic,asian or pacific,"$30,000 to $34,999",bachelor,CA,CA22,22,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$75,000 to $79,999",graduate,MO,MO03,35,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,female,Northeast,not hispanic,white,"$20,000 to $24,999",tertiary (not bachelor),NY,NY27,61,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,female,Northeast,not hispanic,white,"$55,000 to $59,999",bachelor,NJ,NJ05,59,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,Another country,male,South,not hispanic,white,"$25,000 to $29,999",tertiary (not bachelor),FL,FL13,73,>= 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$25,000 to $29,999",bachelor,IA,IA04,44,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,West,not hispanic,white,"$45,000 to $49,999",bachelor,CA,CA04,63,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,Another country,female,West,not hispanic,white,"$80,000 to $84,999",bachelor,OR,OR03,32,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Homemaker,The United States,female,South,not hispanic,black,"Less than $14,999",bachelor,TN,TN05,24,20 ~ 30,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,female,South,not hispanic,black,"Less than $14,999",bachelor,FL,FL08,57,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,South,not hispanic,white,"$35,000 to $39,999",at most high school,TX,TX19,70,>= 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$125,000 to $149,999",graduate,MN,MN08,34,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,Midwest,not hispanic,white,"$25,000 to $29,999",at most high school,IL,IL17,74,>= 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,black,"Less than $14,999",at most high school,PA,PA18,22,20 ~ 30,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,black,"$80,000 to $84,999",tertiary (not bachelor),PA,PA18,35,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$30,000 to $34,999",bachelor,KS,KS02,63,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,South,not hispanic,white,"$40,000 to $44,999",tertiary (not bachelor),TN,TN08,68,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,West,not hispanic,white,"$85,000 to $89,999",at most high school,OR,OR05,70,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,West,not hispanic,white,"$125,000 to $149,999",graduate,AZ,AZ01,62,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$55,000 to $59,999",graduate,MD,MD06,52,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,black,"$55,000 to $59,999",bachelor,MD,MD04,44,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$65,000 to $69,999",bachelor,OK,OK05,60,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,West,not hispanic,white,"$175,000 to $199,999",graduate,CO,CO03,68,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,female,Northeast,not hispanic,white,"$20,000 to $24,999",bachelor,ME,ME01,27,20 ~ 30,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),WV,WV02,33,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",bachelor,NJ,NJ06,66,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,white,"$80,000 to $84,999",bachelor,NJ,NJ01,57,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,Another country,female,West,mexican,white,"$100,000 to $124,999",bachelor,CA,CA28,31,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$20,000 to $24,999",bachelor,FL,FL17,61,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,West,not hispanic,white,"$100,000 to $124,999",graduate,NV,NV02,64,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,female,Midwest,not hispanic,white,"$60,000 to $64,999",graduate,WI,WI06,55,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,FL,FL22,60,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,Midwest,not hispanic,black,"$150,000 to $174,999",bachelor,OH,OH11,52,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,South,not hispanic,white,"$40,000 to $44,999",bachelor,SC,SC04,66,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Self-employed,The United States,male,West,not hispanic,white,"$60,000 to $64,999",tertiary (not bachelor),NV,NV04,38,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$25,000 to $29,999",bachelor,FL,FL18,81,>= 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$15,000 to $19,999",bachelor,WV,WV03,59,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,South,not hispanic,black,"$125,000 to $149,999",graduate,GA,GA13,70,>= 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,VA,VA01,50,50 ~ 60,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Student,The United States,female,West,mexican,other,"$60,000 to $64,999",at most high school,CA,CA27,19,18 ~ 20,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,female,Midwest,other,white,"$35,000 to $39,999",bachelor,MI,MI06,26,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$85,000 to $89,999",graduate,GA,,37,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,South,not hispanic,white,"$15,000 to $19,999",tertiary (not bachelor),VA,VA06,68,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,black,"Less than $14,999",tertiary (not bachelor),VA,VA04,22,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,male,South,not hispanic,white,"Less than $14,999",bachelor,TX,TX17,26,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,female,Northeast,other,black,"Less than $14,999",bachelor,NY,NY08,21,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$25,000 to $29,999",bachelor,WI,WI05,61,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,female,South,not hispanic,white,"$30,000 to $34,999",bachelor,FL,FL03,71,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$85,000 to $89,999",bachelor,FL,FL17,65,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,female,South,not hispanic,black,"$45,000 to $49,999",at most high school,NC,NC01,69,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,South,not hispanic,black,"$40,000 to $44,999",at most high school,GA,GA05,71,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,South,not hispanic,white,"$25,000 to $29,999",tertiary (not bachelor),TX,TX13,62,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$75,000 to $79,999",graduate,OK,OK05,37,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$30,000 to $34,999",bachelor,PA,PA14,72,>= 70,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Part-time employed,The United States,male,Midwest,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),MI,MI09,73,>= 70,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,Northeast,not hispanic,white,"$20,000 to $24,999",at most high school,NJ,NJ08,74,>= 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,female,South,mexican,white,"$95,000 to $99,999",bachelor,TX,TX18,38,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),MA,MA06,52,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"Less than $14,999",bachelor,FL,FL13,64,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,male,West,not hispanic,white,"$55,000 to $59,999",tertiary (not bachelor),CA,CA33,27,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",bachelor,IL,IL17,24,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,female,Midwest,mexican,other,"$25,000 to $29,999",at most high school,MI,MI08,44,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Midwest,not hispanic,white,"$60,000 to $64,999",tertiary (not bachelor),MI,MI07,71,>= 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,female,West,not hispanic,white,"$60,000 to $64,999",at most high school,CA,CA06,32,30 ~ 40,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,South,other,other,"$25,000 to $29,999",bachelor,FL,FL15,26,20 ~ 30,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,female,South,not hispanic,black,"$40,000 to $44,999",bachelor,AL,AL02,28,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,male,South,not hispanic,black,"$100,000 to $124,999",bachelor,SC,SC04,34,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,female,South,mexican,white,"$100,000 to $124,999",bachelor,FL,FL25,31,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$200,000 to $249,999",graduate,PA,PA14,40,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,black,"$35,000 to $39,999",bachelor,MA,MA03,36,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,male,South,not hispanic,black,"$50,000 to $54,999",at most high school,SC,NC10,34,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$25,000 to $29,999",bachelor,IL,IL18,66,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,male,West,not hispanic,white,"$175,000 to $199,999",graduate,CA,CA52,67,60 ~ 70,0
