interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,West,not hispanic,white,"$95,000 to $99,999",bachelor,MT,MT00,73,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,black,"$15,000 to $19,999",at most high school,WI,WI08,38,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,female,Midwest,not hispanic,white,"$50,000 to $54,999",graduate,IL,IL06,61,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,female,Midwest,not hispanic,white,"$150,000 to $174,999",bachelor,MO,MO02,63,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$70,000 to $74,999",bachelor,TX,TX10,67,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,white,"$45,000 to $49,999",tertiary (not bachelor),MN,MN06,44,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,South,not hispanic,white,"$35,000 to $39,999",bachelor,SC,SC05,74,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),GA,GA01,65,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,West,not hispanic,white,"$35,000 to $39,999",graduate,CA,CA22,39,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,female,South,not hispanic,white,"$175,000 to $199,999",bachelor,VA,VA08,50,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,female,South,not hispanic,white,"$70,000 to $74,999",at most high school,WV,WV03,68,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$35,000 to $39,999",bachelor,NE,NE02,56,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,Midwest,not hispanic,white,"$15,000 to $19,999",tertiary (not bachelor),MI,MI01,51,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,female,West,not hispanic,white,"$70,000 to $74,999",tertiary (not bachelor),AZ,AZ06,62,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$25,000 to $29,999",at most high school,TN,TN06,73,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,male,Northeast,not hispanic,white,"$30,000 to $34,999",bachelor,MA,MA05,55,50 ~ 60,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",bachelor,IL,IL07,58,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,female,West,not hispanic,white,"$45,000 to $49,999",bachelor,CA,CA36,66,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$30,000 to $34,999",at most high school,NY,NY08,74,>= 70,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,West,not hispanic,white,"$15,000 to $19,999",at most high school,CO,,33,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,West,not hispanic,asian or pacific,"$150,000 to $174,999",bachelor,HI,HI01,37,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,West,not hispanic,white,"$175,000 to $199,999",graduate,CA,CA17,63,60 ~ 70,0
